                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Tanggal Surat,No Surat Keluar,Ditujukan Kepada,Perihal,Catatan
1,2 Januari 2024,01/JaRI-Sekr/B/I/2024,Polresta Kab.Bandung,Surat Keterangan  Penanggung Jawab Divisi Pelayanan,
2,2Januari 2024,01/JaRI-Sekr/A/I/2024,UPTD PPA Kabupaten Bandung,MoU,
3,5 Januari 2024,02/JaRI-Sekr/B/I/2024,Penerbit Alinea,Permohonan Penerbitan Buku Merdeka dari Kekerasan Kesetaran Gender mendukung Remaja Sehat,
4,15 Januari2024,03/JaRI-Sekr/B/I/2024,Ibu Yani Panigoro,Invoice  bulan Januari,
5,22 Januari 2024,04/JaRI-Sekr/B/I/2024,50 Penulis terbaik lomba menulis,Pengiriman Buku Merdeka dari Kekerasan,
6,24 Januari 2024,05/JaRI-Sekr/B/I/2024,Bu Parwati,Surat Pengantar Proposal,
7,15  Februari 2024,06/JaRI-Sekr/B/II/2024,Bu Parwati,Ucapan Terima kasih  atas Donasi,
8,15 Februari 24,07/JaRI-Sekr/B/II/2024,Pak Budi,Surat Tugas,
9,15 Februari 24,08/JaRI-Sekr/B/II/2024,Ibu Yani Panigoro,Invoice  bulan Februari,
10,26 Februari 24,09/JaRI-Sekr/BII/2024,Ibu Dian Indraswari (Ketua Yayasan Pulih),Permohonan Sharing Session,
11,26 Februari 24,10/JaRI-Sekr/B/II/2024,IPK,Permohonan Kerjasama,
12,20 Maret 2024,11/JaRI-Sekr/B/III/2024,Ibu Yani Panigoro,Invoice bulan Maret,
13,20 Maret 2024,12/JaRI-Sekr/BIII/2024,Hannah Nabila,Surat Keterangan  ,
14,3 April 2024,13/JaRI-Sekr/B/IV/2024,Yushifani Belladina,Surat Keterangan,
15,16 Appril 2024,14/JaRI-Sekr/B/IV/2024,"Pembicara,Penanggap,Moderator",Webinar Bedah Buku Mereka dari Kekerasan,
16,19 April 2024,15/JaRI-Sekr/B/IV/2024,Ibu Yani Panigoro,Invoice Bln April,
17,16 April 2024,15.7/JaRI -Sekr/B/IV/2024,Ibu Windy,Cover letter proposal ke ibu Windy flasy,
18,25 Aprill  2024,16/JaRI-Sekr/B/IV/2024,Ibu Puti Yasmin,Ucapan Terima kasih,
